archive	log	adapter_ns	adaptive_offline	base_facts_added	base_facts_removed	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_changed_primitives	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	monotone_primitive_queries	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	primitive_change_queries	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	retracting_primitive_queries	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.43_NetBSD_sysmon_power_sliced.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_27-multiple-protecting2_true.yml.log	0	1545	77243	78149	597898	0	751220	0	0	0	1	0	0	52151574	59	720533	2430	10	4424	4424	48	61	9	1546	192957490	0	29304	0	1545	1564	0	0	193420989	0	29304	0	1536	0	0	0	609794059	18	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.singleton.yml.log	0	19	2953	1845	5722	0	6392	0	0	0	1	0	0	426351	45	847407	1716	10	3416	3416	22	47	1	20	1548659	0	22696	0	19	21	0	0	1551251	0	22696	0	18	0	0	0	4611970	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.singleton_with-uninit-problems.yml.log	0	64	6102	6353	23488	0	34312	0	0	0	1	0	0	1606132	45	852352	1716	10	3488	3488	24	48	1	65	5709068	0	23168	0	64	68	0	0	5727178	0	23168	0	63	0	0	0	17269730	3	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.queue_ok.yml.log	0	16	273906	229734	9445	0	56538	0	0	0	1	0	0	9709480	432	684800	113314	10	218456	218456	210	433	0	17	45506860	0	1431576	0	16	18	0	0	45516808	0	1431576	0	16	0	0	0	153843078	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.race-1_3-join.yml.log	0	12	409	570	3627	0	3307	0	0	0	1	0	0	166567	26	648437	410	9	2048	2048	12	28	0	13	567883	0	13728	0	12	13	0	0	569937	0	13728	0	12	0	0	0	1381276	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.race-1_1-join.yml.log	0	2	136	20	1228	0	797	0	0	0	1	0	0	45359	15	640000	144	9	1184	1184	1	16	0	3	97582	0	8064	0	2	3	0	0	98271	0	8064	0	2	0	0	0	191799	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.race-1_2-join.yml.log	0	12	409	570	3817	0	3625	0	0	0	1	0	0	178103	26	648437	410	9	2048	2048	12	28	0	13	564826	0	13728	0	12	13	0	0	567453	0	13728	0	12	0	0	0	1370674	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.twostage_3.yml.log	0	68	22596	18299	32653	0	59709	0	0	0	1	0	0	6410280	99	783081	7528	10	14608	14608	29	101	3	69	22780764	0	95928	0	68	74	0	0	22811506	0	95928	0	65	0	0	0	74958952	5	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.race-3_1-container_of-global.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
