variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	executions	snapshot_bytes	base_bytes	lazy_checks	lazy_candidates
before	sc	r02	c/pthread-theta/unwind2-100.yml	false(unreach-call)	correct	0.068389177	0.0758674549870193	25956352.0					
before	sc	r02	c/pthread/butterfly.yml	true	correct	14.166663428	14.342471334966831	25968640.0					
before	sc	r02	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	true	correct	0.068215428	0.07562203798443079	25845760.0					
before	sc	r02	c/goblint-regression/28-race_reach_06-cond_racing1.yml	false(unreach-call)	correct	12.259849942	12.286203996976838	2061094912.0					
before	sc	r02	c/pthread/queue_ok.yml	true	correct	0.073546634	0.07966266095172614	26075136.0					
before	sc	r02	c/pthread/queue_ok_longer.yml	true	correct	0.459183056	0.46780038194265217	79388672.0					
before	sc	r02	c/pthread/queue_ok_longest.yml	true	correct	1.610056504	1.619902886915952	276971520.0					
before	sc	r02	c/pthread/queue_longer.yml	TIMEOUT	error	61.034322699	61.076063371961936	1071972352.0					
before	sc	r02	c/pthread/queue.yml	false(unreach-call)	correct	0.093211423	0.09921752905938774	26034176.0					
before	sc	r02	c/pthread/singleton.yml	false(unreach-call)	correct	0.07510248	0.09181180701125413	26013696.0					
before	sc	r02	c/pthread/singleton_with-uninit-problems.yml	true	correct	0.072328213	0.0830133359413594	26087424.0					
before	sc	r02	c/pthread-C-DAC/pthread-demo-datarace-3.yml	false(unreach-call)	correct	0.127401767	0.14705821697134525	25899008.0					
before	sc	r02	c/pthread/reorder_2.yml	false(unreach-call)	correct	0.149706663	0.1587449200451374	25927680.0					
before	sc	r02	c/pthread/twostage_3.yml	false(unreach-call)	correct	0.084361998	0.09059973002877086	26083328.0					
before	sc	r02	c/ldv-races/race-1_1-join.yml	true	correct	0.073293017	0.07735392602626234	26087424.0					
before	sc	r02	c/ldv-races/race-1_3-join.yml	false(unreach-call)	correct	0.075047676	0.08130982797592878	26099712.0					
before	sc	r02	c/ldv-races/race-1_2-join.yml	false(unreach-call)	correct	0.069670411	0.07717469695489854	26136576.0					
before	sc	r02	c/ldv-races/race-4_1-thread_local_vars.yml	true	correct	0.068981419	0.07461686595343053	26157056.0					
before	sc	r02	c/ldv-races/race-2_1-container_of.yml	true	correct	0.06892716	0.09558888804167509	26132480.0					
before	sc	r02	c/ldv-races/race-3_1-container_of-global.yml	true	correct	0.070397799	0.07666618598159403	26091520.0					
before	sc	r03	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	0.071104827	0.07774416101165116	25690112.0					
