task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/ldv-races/race-3_1-container_of-global.yml	true	correct	benchmark-consistent	0.075115712s	0.08613246597815305s	26042368B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/ldv-races/race-3_2-container_of-global.yml	true	wrong	conditional-input-miss	0.076916374s	0.08662805001949891s	26087424B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/ldv-races/race-2_4-container_of.yml	true	wrong	conditional-input-miss	0.077589478s	0.08893645403441042s	26079232B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/libvsync/ttaslock.yml	OUT OF MEMORY	error	unknown	13.470536359s	13.537493860989343s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/libvsync/semaphore.yml	true	correct	benchmark-consistent	2.332224483s	2.3633460410055704s	26746880B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/libvsync/bounded_mpmc_check_full.yml	true	correct	benchmark-consistent	0.12174118s	0.13342801004182547s	26750976B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/libvsync/rec_ticketlock.yml	OUT OF MEMORY	error	unknown	13.843730048s	13.881094674987253s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/libvsync/cnalock.yml	ERROR (unsupported property: invalid memory access)	error	unknown	0.122365142s	0.13059044198598713s	26923008B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/libvsync/hclhlock.yml	ERROR (unsupported property: invalid memory access)	error	unknown	0.12224524s	0.12908930896082893s	27013120B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/ldv-linux-3.14-races/linux-3.14--drivers--usb--misc--adutux.ko.cil.yml	ABORTED	error	unknown	37.016931317s	37.153885615000036s	33161216B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-driver-races/char_generic_nvram_nvram_unlocked_ioctl_write_nvram.yml	true	correct	benchmark-consistent	0.163925624s	0.17318928003078327s	29106176B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-driver-races/char_pc8736x_gpio_pc8736x_gpio_open_pc8736x_gpio_set.yml	true	correct	benchmark-consistent	0.175620393s	0.1859347730060108s	29626368B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-driver-races/char_pc8736x_gpio_pc8736x_gpio_get_pc8736x_gpio_set.yml	true	correct	benchmark-consistent	0.175359442s	0.18517235096078366s	29618176B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-driver-races/char_pc8736x_gpio_pc8736x_gpio_open_pc8736x_gpio_get.yml	true	correct	benchmark-consistent	0.171883607s	0.18204588198568672s	29622272B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
