task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-tso.profile.28-race_reach_45-escape_racing.yml.log	1400	0	9016	0	9016	0
caat-tso.profile.28-race_reach_46-escape_racefree.yml.log	1256	0	8120	0	8120	0
caat-tso.profile.29_conditionals_vs.yml.log	0	0	0	0	0	0
caat-tso.profile.36-apron_11-traces-max-simple_true.yml.log	896	0	5880	0	5880	0
caat-tso.profile.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0
caat-tso.profile.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-tso.profile.36-apron_21-traces-cluster-based_true.yml.log	2552	0	16184	0	16184	0
caat-tso.profile.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	0	0	0	0	0
caat-tso.profile.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0
caat-tso.profile.43_NetBSD_sysmon_power_sliced.yml.log	0	0	0	0	0	0
caat-tso.profile.45_monabsex1_vs.yml.log	0	0	0	0	0	0
caat-tso.profile.46_monabsex2_vs.yml.log	0	0	0	0	0	0
caat-tso.profile.48_ticket_lock_low_contention_vs-pthread.yml.log	0	0	0	0	0	0
caat-tso.profile.48_ticket_lock_low_contention_vs.yml.log	0	0	0	0	0	0
caat-tso.profile.circular_buffer_bad.yml.log	12304	0	76744	0	76744	0
caat-tso.profile.circular_buffer_ok.yml.log	66944	0	416488	0	416488	0
caat-tso.profile.dekker-unfair.yml.log	2264	0	14392	0	14392	0
caat-tso.profile.dekker.yml.log	2264	0	14392	0	14392	0
caat-tso.profile.exponential-nondet.yml.log	0	0	0	0	0	0
caat-tso.profile.fib_safe-5.yml.log	70112	0	436200	0	436200	0
caat-tso.profile.fib_unsafe-5.yml.log	70112	0	436200	0	436200	0
caat-tso.profile.fib_unsafe-6.yml.log	101320	0	630264	0	630264	0
caat-tso.profile.lazy01.yml.log	1904	0	12152	0	12152	0
caat-tso.profile.pthread-demo-datarace-3.yml.log	94480	0	587704	0	587704	0
caat-tso.profile.queue.yml.log	58016	0	360936	0	360936	0
caat-tso.profile.queue_ok.yml.log	66080	0	411112	0	411112	0
caat-tso.profile.queue_ok_longer.yml.log	18277560	18277560	113719960	113719960	113719960	113719960
caat-tso.profile.queue_ok_longest.yml.log	72843120	72843120	453231496	453231496	453231496	453231496
caat-tso.profile.race-1_1-join.yml.log	0	0	0	0	0	0
