variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r02	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	56397824
after	pso	r02	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057185792
after	pso	r02	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057202176
after	pso	r02	28-race_reach_45-escape_racing.yml	0	94121	3832	19	2	28	0	1	609	802	0	0	1	26054656
after	pso	r02	28-race_reach_46-escape_racefree.yml	0	997154	5592	29	56	675	0	28	8527	9410	0	2	1	26058752
after	pso	r02	29_conditionals_vs.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25903104
after	pso	r02	36-apron_11-traces-max-simple_true.yml	0	276338	3304	16	20	67	0	10	2252	2427	0	2	1	26017792
after	pso	r02	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	25927680
after	pso	r02	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25997312
after	pso	r02	36-apron_21-traces-cluster-based_true.yml	0	3913524	6648	35	172	1147	0	86	36792	41091	0	6	1	26165248
after	pso	r02	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26087424
after	pso	r02	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25989120
after	pso	r02	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26001408
after	pso	r02	45_monabsex1_vs.yml	0	161805	3304	16	8	31	0	4	758	766	0	0	1	26025984
after	pso	r02	46_monabsex2_vs.yml	0	331076	4184	21	18	66	0	9	2087	2105	0	0	1	25948160
after	pso	r02	48_ticket_lock_low_contention_vs-pthread.yml	0	45868	2600	12	2	3	0	1	149	151	0	0	1	25993216
after	pso	r02	48_ticket_lock_low_contention_vs.yml	0	193881	4888	25	8	57	0	4	1230	1366	0	0	1	26103808
after	pso	r02	butterfly.yml	0	18694859410	11224	61	694890	17811839	0	347445	323679200	392253708	0	64560	1	26148864
after	pso	r02	circular_buffer_bad.yml	0	14531639	31880	89	476	13886	0	238	151461	228264	0	1	1	26177536
after	pso	r02	circular_buffer_ok.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26091520
after	pso	r02	dekker-unfair.yml	0	1277460	6648	35	74	464	0	37	15829	17944	0	4	1	26107904
after	pso	r02	dekker.yml	0	1185708	6648	35	70	451	0	35	15388	17489	0	4	1	26124288
after	pso	r02	exponential-nondet.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26075136
after	pso	r02	fib_safe-5.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26075136
after	pso	r02	fib_safe-6.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26112000
after	pso	r02	fib_unsafe-5.yml	0	6407331448	171752	243	96526	3814084	0	48263	23175953	64243734	0	632	1	26083328
after	pso	r02	fib_unsafe-6.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26025984
after	pso	r02	fib_unsafe-7.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	25989120
after	pso	r02	lazy01.yml	0	572975	5592	29	36	327	0	18	5633	6478	0	1	1	26091520
after	pso	r02	pthread-demo-datarace-3.yml	0	34871247	231304	262	80	454000	0	40	278340	1865819	0	0	1	26087424
after	pso	r02	queue.yml	0	438479454	145000	205	5918	1480526	0	2959	3321776	5741117	0	2	1	26288128
after	pso	r02	queue_longer.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	80703488
after	pso	r02	queue_ok.yml	0	9849286	534328	433	34	102809	0	17	38538	191008	0	2	1	26275840
after	pso	r02	queue_ok_longer.yml	136404678	3316132387	44133960	8033	34	49930426	0	1	137	143	16	2	1	120639488
after	pso	r02	queue_ok_longest.yml	521427977	16995691017	174022760	16033	34	203270101	16	1	137	143	16	2	1	477249536
after	pso	r02	race-1_1-join.yml	0	84026	3304	16	6	17	0	3	415	421	0	1	1	26218496
after	pso	r02	race-1_2-join.yml	0	456634	5416	28	26	333	0	13	4020	4682	0	1	1	26214400
after	pso	r02	race-1_3-join.yml	0	423815	5416	28	26	333	0	13	4020	4682	0	1	1	26214400
after	pso	r02	race-2_1-container_of.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26349568
after	pso	r02	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26345472
after	pso	r02	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26365952
after	pso	r02	reorder_2.yml	0	312875247	29416	82	12692	356071	0	6346	3497435	4326542	0	162	1	26222592
after	pso	r02	singleton.yml	0	800136	8760	47	40	280	0	20	11366	12741	0	1	1	26222592
after	pso	r02	singleton_with-uninit-problems.yml	0	2315632	8936	48	130	956	0	65	33330	36110	0	4	1	26316800
after	pso	r02	stateful01-1.yml	0	435448	6824	36	20	318	0	10	4392	5748	0	0	1	26095616
after	pso	r02	stateful01-2.yml	0	4261773	6824	36	246	1692	0	123	37267	41070	0	6	1	26042368
after	pso	r02	szymanski.yml	0	9101038	5944	31	756	4332	0	378	102094	108225	0	6	1	26120192
after	pso	r02	time_var_mutex.yml	0	740466	6296	33	44	346	0	22	7806	9095	0	2	1	26107904
after	pso	r02	triangular-1.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26071040
after	pso	r02	triangular-2.yml	0	11176250401	24488	68	493952	6107784	0	246976	135832488	148775415	0	3638	1	26136576
after	pso	r02	twostage_3.yml	0	6573493	36104	101	138	12711	0	69	91454	147654	0	4	1	26349568
after	pso	r02	unwind2-1.yml	0	109322	3656	18	6	30	0	3	719	746	0	1	1	26066944
after	pso	r02	unwind2-100.yml	0	104332	3656	18	6	30	0	3	719	746	0	1	1	26181632
after	pso	r02	unwind3-1.yml	0	123933	3656	18	6	83	0	3	1032	1238	0	1	1	26087424
after	pso	r03	01b_inc.yml	0	183706	4184	21	10	76	0	5	1420	1600	0	0	1	26034176
after	pso	r03	02_inc_cas.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25956352
after	pso	r03	13-privatized_01-priv_nr_true.yml	0	425983	4360	22	20	410	0	10	2872	3294	0	2	1	26025984
after	pso	r03	13-privatized_18-first-reads_true.yml	0	366803	3304	16	20	87	0	10	2344	2522	0	2	1	26075136
after	pso	r03	13-privatized_18-first-reads_unknown_1_neg.yml	0	52195	1896	8	2	12	0	1	254	289	0	0	1	26042368
after	pso	r03	13-privatized_18-first-reads_unknown_2_pos.yml	0	63111	1896	8	2	12	0	1	254	289	0	0	1	26087424
after	pso	r03	13-privatized_19-publish-precision_true.yml	0	940857	4536	23	66	521	0	33	10374	11627	0	3	1	26075136
after	pso	r03	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26066944
after	pso	r03	13-privatized_19-publish-precision_unknown_1_pos.yml	0	67811	2776	13	2	17	0	1	419	487	0	0	1	26013696
after	pso	r03	13-privatized_19-publish-precision_unknown_2_neg.yml	0	54914	2776	13	2	17	0	1	419	487	0	0	1	25976832
after	pso	r03	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26095616
after	pso	r03	13-privatized_20-publish-regression_true.yml	0	4682746	4712	24	36	387	0	18	5102	5553	0	2	1	25952256
after	pso	r03	13-privatized_24-multiple-protecting_true.yml	0	17230348	10520	57	852	12744	0	426	243823	286134	0	7	1	26144768
after	pso	r03	13-privatized_25-struct_nr_true.yml	0	348430	4360	22	20	410	0	10	2872	3294	0	2	1	26107904
after	pso	r03	13-privatized_27-multiple-protecting2_true.yml	0	72946777	11224	61	3092	47319	0	1546	711605	802416	0	26	1	26042368
after	pso	r03	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2828120	6824	36	176	1937	0	88	30963	34569	0	4	1	26013696
after	pso	r03	13-privatized_30-traces-oplus-vs-meet_true.yml	0	915386	5064	26	60	540	0	30	9388	10326	0	2	1	25964544
after	pso	r03	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2569740	5768	30	168	1514	0	84	27125	29574	0	4	1	26042368
after	pso	r03	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2986639	6824	36	152	1965	0	76	27523	31244	0	3	1	26050560
after	pso	r03	13-privatized_33-traces-v-matters_true.yml	0	630570	5240	27	20	121	0	10	3734	4412	0	1	1	26038272
after	pso	r03	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	388510	5416	28	24	151	0	12	3736	4188	0	1	1	25976832
after	pso	r03	13-privatized_35-traces-ex-2_true.yml	0	859902	4888	25	60	403	0	30	8892	9725	0	2	1	26062848
after	pso	r03	13-privatized_36-traces-ex-3_true.yml	0	1410191	4360	22	54	343	0	27	7679	8541	0	3	1	26025984
after	pso	r03	13-privatized_37-traces-ex-4_true.yml	0	737822	4888	25	56	316	0	28	7707	8344	0	2	1	25960448
after	pso	r03	13-privatized_38-traces-ex-4-switch_true.yml	0	1140129	4888	25	60	411	0	30	8757	9561	0	2	1	25980928
after	pso	r03	13-privatized_40-traces-ex-6_true.yml	0	261780	4184	21	16	60	0	8	2201	2423	0	1	1	25980928
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25964544
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	67971	2776	13	2	17	0	1	413	506	0	0	1	26001408
after	pso	r03	13-privatized_42-traces-ex-mini_true.yml	0	593811	5064	26	40	323	0	20	5948	6766	0	2	1	25952256
after	pso	r03	13-privatized_44-traces-mine2_true.yml	0	136244	4184	21	6	28	0	3	824	957	0	1	1	25985024
