adapter-ns	adaptive-offline	checkpoint-ns	copy-ns	cpu_s	equality-ns	eval-ops	evicted	has_statistics	history-ns	initialize	insert	insert-attempt-ns	lazy-cycle-checks	lazy-depth-fallbacks	lazy-edge-candidates	materialize-ns	max-active-events	max-base-relation-density-ppm	max-base-relation-pairs	max-current-base-bytes	max-history-base-bytes	max-inactive-events	max-stable-events	model	offline-evals	offline-ns	oracle	peak-snapshot-equivalent-bytes	peak-undo-bytes	preventive-all-pruned-fallbacks	preventive-co-candidates	preventive-co-pruned	preventive-lookup-ns	preventive-prefix-inconsistent	preventive-prefix-queries	preventive-rf-candidates	preventive-rf-pruned	profiled-queries	queue-pushes	rebuild	rebuild-ns	repetition	replace	retained-snapshot-equivalent-bytes	retained-undo-bytes	rollback	rollback-insert	rollback-ns	status	sync-ns	task	unchanged	value-changes	worklist-ns
0	48262	18025312	0	14.875922759	65054005	0	0	True	0	1	0	0	96526	0	11518678	7103624611	243	603215	35130	70112	70112	78	243	pso	48263	5175676783	0	171752	0	0	0	0	0	0	0	0	0	48728	0	0	5180483732	r01	0	171752	0	0	0	0	false(unreach-call)	13773494340	c/pthread/fib_unsafe-5.yml	465	0	0
0	246975	79396656	0	21.487604026	104639040	0	0	True	0	1	0	0	493952	0	14750405	11013554616	67	713469	2954	9856	9856	51	68	pso	246976	6957365003	0	24488	0	0	0	0	0	0	0	0	0	249550	0	0	6977432305	r01	0	24488	0	0	0	0	false(unreach-call)	19806617247	c/pthread/triangular-2.yml	2574	0	0
				60.951242485				False																pso																		r01							TIMEOUT		c/pthread/triangular-1.yml			
				61.03022817				False																pso																		r01							TIMEOUT		c/goblint-regression/28-race_reach_37-indirect_racing.yml			
				61.034493901				False																pso																		r01							TIMEOUT		c/goblint-regression/28-race_reach_01-simple_racing.yml			
				60.947316328				False																pso																		r01							TIMEOUT		c/goblint-regression/28-race_reach_11-ptr_racing.yml			
0	17	4511	0	0.065636584	4206	0	0	True	0	1	0	0	36	0	861	221041	26	774400	516	2120	2120	10	29	pso	18	353041	0	5592	0	0	0	0	0	0	0	0	0	19	0	0	354871	r01	0	5592	0	0	0	0	false(unreach-call)	641683	c/pthread/lazy01.yml	1	0	0
				60.958500797				False																pso																		r01							TIMEOUT		c/pthread/fib_safe-5.yml			
0	377	67962	0	0.072982587	71630	0	0	True	0	1	0	0	756	0	9033	3192516	29	740000	572	2264	2264	20	31	pso	378	6045265	0	5944	0	0	0	0	0	0	0	0	0	378	0	0	6072691	r01	0	5944	0	0	0	0	true	10471024	c/pthread-atomic/szymanski.yml	0	0	0
				60.970062705				False																pso																		r01							TIMEOUT		c/pthread/fib_safe-6.yml			
0	34	9581	0	0.063100006	6592	0	0	True	0	1	0	0	70	0	1568	399953	34	740484	790	2552	2552	16	35	pso	35	771461	0	6648	0	0	0	0	0	0	0	0	0	35	0	0	774498	r01	0	6648	0	0	0	0	true	1313661	c/pthread-atomic/dekker.yml	0	0	0
0	36	9878	0	0.065742181	6921	0	0	True	0	1	0	0	74	0	1600	416886	34	740484	790	2552	2552	16	35	pso	37	774300	0	6648	0	0	0	0	0	0	0	0	0	37	0	0	782223	r01	0	6648	0	0	0	0	true	1341239	c/pthread-atomic/dekker-unfair.yml	0	0	0
0	2	1139	0	0.065564242	533	0	0	True	0	1	0	0	6	0	187	36983	18	617283	200	1328	1328	0	18	pso	3	73365	0	3656	0	0	0	0	0	0	0	0	0	3	0	0	73946	r01	0	3656	0	0	0	0	false(unreach-call)	122527	c/pthread-theta/unwind3-1.yml	0	0	0
